Fiber Route
Lat,Long,Elev,Description
52.78265273,-2.42759817,0,27
52.78263166,-2.42763011,0,28
52.78261060,-2.42766205,0,29
52.78258954,-2.42769399,0,30
52.78256848,-2.42772593,0,31
52.78254741,-2.42775786,0,32
52.78252635,-2.42778980,0,33
52.78250529,-2.42782174,0,34
52.78248422,-2.42785368,0,35
52.78246981,-2.42787554,0,36
52.78245286,-2.42791357,0,37
52.78243592,-2.42795159,0,38
52.78241898,-2.42798962,0,39
52.78240203,-2.42802764,0,40
52.78238509,-2.42806566,0,41
52.78236814,-2.42810369,0,42
52.78235120,-2.42814171,0,43
52.78235191,-2.42814011,0,44
52.78237409,-2.42816993,0,45
52.78239626,-2.42819975,0,46
52.78241843,-2.42822958,0,47
52.78244061,-2.42825940,0,48
52.78246278,-2.42828923,0,49
52.78248496,-2.42831905,0,50
52.78250713,-2.42834888,0,51
52.78254152,-2.42839513,0,52
52.78256390,-2.42842453,0,53
52.78258628,-2.42845394,0,54
52.78260865,-2.42848334,0,55
52.78263103,-2.42851275,0,56
52.78265341,-2.42854215,0,57
52.78267579,-2.42857156,0,58
52.78269817,-2.42860096,0,59
52.78272055,-2.42863036,0,60
52.78274293,-2.42865977,0,61
52.78276531,-2.42868917,0,62
52.78278769,-2.42871858,0,63
52.78281847,-2.42875903,0,64
52.78284033,-2.42878947,0,65
52.78286220,-2.42881992,0,66
52.78288406,-2.42885036,0,67
52.78290592,-2.42888081,0,68
52.78292778,-2.42891126,0,69
52.78294964,-2.42894170,0,70
52.78297150,-2.42897215,0,71
52.78299336,-2.42900259,0,72
52.78301522,-2.42903304,0,73
52.78303709,-2.42906348,0,74
52.78305895,-2.42909393,0,75
52.78308081,-2.42912437,0,76
52.78310267,-2.42915482,0,77
52.78312453,-2.42918527,0,78
52.78314639,-2.42921571,0,79
52.78316392,-2.42924012,0,80
52.78318568,-2.42927075,0,81
52.78320745,-2.42930138,0,82
52.78322922,-2.42933201,0,83
52.78325098,-2.42936263,0,84
52.78327275,-2.42939326,0,85
52.78329452,-2.42942389,0,86
52.78331628,-2.42945452,0,87
52.78333805,-2.42948515,0,88
52.78335982,-2.42951578,0,89
52.78338158,-2.42954641,0,90
52.78340335,-2.42957704,0,91
52.78342512,-2.42960767,0,92
52.78344688,-2.42963830,0,93
52.78347613,-2.42967946,0,94
52.78349671,-2.42964668,0,95
52.78351729,-2.42961389,0,96
52.78353787,-2.42958111,0,97
52.78355846,-2.42954833,0,98
52.78357904,-2.42951554,0,99
52.78359962,-2.42948276,0,100
52.78362572,-2.42944118,0,101
52.78364258,-2.42940306,0,102
52.78365945,-2.42936494,0,103
52.78367632,-2.42932682,0,104
52.78369319,-2.42928870,0,105
52.78371005,-2.42925058,0,106
52.78372692,-2.42921246,0,107
52.78374379,-2.42917434,0,108
52.78376065,-2.42913622,0,109
52.78377752,-2.42909810,0,110
52.78378085,-2.42909058,0,111
52.78375877,-2.42906055,0,112
52.78373670,-2.42903053,0,113
52.78371462,-2.42900051,0,114
52.78369255,-2.42897048,0,115
52.78367047,-2.42894046,0,116
52.78364840,-2.42891044,0,117
52.78362632,-2.42888041,0,118
52.78360425,-2.42885039,0,119
52.78358217,-2.42882037,0,120
52.78356010,-2.42879034,0,121
52.78353802,-2.42876032,0,122
52.78351595,-2.42873030,0,123
52.78349387,-2.42870027,0,124
52.78347180,-2.42867025,0,125
52.78344972,-2.42864023,0,126
52.78342765,-2.42861020,0,127
52.78341734,-2.42859619,0,128
52.78339529,-2.42856612,0,129
52.78337323,-2.42853605,0,130
52.78335118,-2.42850598,0,131
52.78332913,-2.42847592,0,132
52.78330707,-2.42844585,0,133
52.78328502,-2.42841578,0,134
52.78326297,-2.42838572,0,135
52.78324091,-2.42835565,0,136
52.78321886,-2.42832558,0,137
52.78319681,-2.42829552,0,138
52.78317476,-2.42826545,0,139
52.78315270,-2.42823538,0,140
52.78313065,-2.42820532,0,141
52.78312062,-2.42819164,0,142
52.78309769,-2.42816341,0,143
52.78307475,-2.42813519,0,144
52.78305182,-2.42810696,0,145
52.78302889,-2.42807874,0,146
52.78300596,-2.42805051,0,147
52.78298303,-2.42802229,0,148
52.78296010,-2.42799406,0,149
52.78293717,-2.42796584,0,150
52.78291424,-2.42793762,0,151
52.78289131,-2.42790939,0,152
52.78286838,-2.42788117,0,153
52.78283740,-2.42784304,0,154
52.78281510,-2.42781347,0,155
52.78279280,-2.42778390,0,156
52.78277051,-2.42775434,0,157
52.78274821,-2.42772477,0,158
52.78272591,-2.42769520,0,159
52.78270361,-2.42766563,0,160
52.78268131,-2.42763606,0,161
52.78265273,-2.42759817,0,162
